SETS
NODES /
H01
H02
N01
N02
N03
N04
N05
N06
N07
N08
N09
N10
/
ROUTES / H01, H02  /
HUBS / H01, H02  /
rdemandIndex /1*15/,
tdemandIndex /1*15/;

PARAMETER
demand( s) /
H01 = 0
H02 = 0
N01 = 2
N02 = 2
N03 = 3
N04 = 1
N05 = 1
N06 = 1
N07 = 1
N08 = 1
N09 = 1
N10 = 1

/;
PARAMETER
cost(i, j) /
H01.H01  = 0
H01.H02  = 100
H01.N01  = 0.5
H01.N02  = 0.6
H01.N03  = 0.8
H01.N04  = 0.7
H01.N05  = 0.6
H01.N06  = 0.8
H01.N07  = 0.6
H01.N08  = 0.6
H01.N09  = 0.9
H01.N10  = 0.9
H02.H01  = 100
H02.H02  = 0
H02.N01  = 1
H02.N02  = 1.1
H02.N03  = 0.7
H02.N04  = 1.2
H02.N05  = 1.1
H02.N06  = 0.6
H02.N07  = 0.5
H02.N08  = 0.3
H02.N09  = 1.3
H02.N10  = 0.9
N01.H01  = 0.5
N01.H02  = 1
N01.N01  = 0
N01.N02  = 0.2
N01.N03  = 0.5
N01.N04  = 0.8
N01.N05  = 0.3
N01.N06  = 1.1
N01.N07  = 0.9
N01.N08  = 1
N01.N09  = 0.6
N01.N10  = 1.4
N02.H01  = 0.6
N02.H02  = 1.1
N02.N01  = 0.2
N02.N02  = 0
N02.N03  = 0.3
N02.N04  = 0.9
N02.N05  = 0.4
N02.N06  = 1.2
N02.N07  = 1
N02.N08  = 0.9
N02.N09  = 0.8
N02.N10  = 1.3
N03.H01  = 0.8
N03.H02  = 0.7
N03.N01  = 0.5
N03.N02  = 0.3
N03.N03  = 0
N03.N04  = 1.3
N03.N05  = 0.8
N03.N06  = 0.9
N03.N07  = 0.7
N03.N08  = 0.5
N03.N09  = 1.1
N03.N10  = 0.9
N04.H01  = 0.7
N04.H02  = 1.2
N04.N01  = 0.8
N04.N02  = 0.9
N04.N03  = 1.3
N04.N04  = 0
N04.N05  = 0.5
N04.N06  = 1.3
N04.N07  = 1.1
N04.N08  = 1
N04.N09  = 0.5
N04.N10  = 1.5
N05.H01  = 0.6
N05.H02  = 1.1
N05.N01  = 0.3
N05.N02  = 0.4
N05.N03  = 0.8
N05.N04  = 0.5
N05.N05  = 0
N05.N06  = 1.2
N05.N07  = 1
N05.N08  = 0.9
N05.N09  = 0.3
N05.N10  = 1.3
N06.H01  = 0.8
N06.H02  = 0.6
N06.N01  = 1.1
N06.N02  = 1.2
N06.N03  = 0.9
N06.N04  = 1.3
N06.N05  = 1.2
N06.N06  = 0
N06.N07  = 0.2
N06.N08  = 0.3
N06.N09  = 1.4
N06.N10  = 0.2
N07.H01  = 0.6
N07.H02  = 0.5
N07.N01  = 0.9
N07.N02  = 1
N07.N03  = 0.7
N07.N04  = 1.1
N07.N05  = 1
N07.N06  = 0.2
N07.N07  = 0
N07.N08  = 0.5
N07.N09  = 1.3
N07.N10  = 0.3
N08.H01  = 0.4
N08.H02  = 0.5
N08.N01  = 1
N08.N02  = 0.8
N08.N03  = 0.5
N08.N04  = 1
N08.N05  = 0.8
N08.N06  = 0.3
N08.N07  = 0.5
N08.N08  = 0
N08.N09  = 1.1
N08.N10  = 0.6
N09.H01  = 0.9
N09.H02  = 1.7
N09.N01  = 0.6
N09.N02  = 0.8
N09.N03  = 1.1
N09.N04  = 0.5
N09.N05  = 0.3
N09.N06  = 1.4
N09.N07  = 1.3
N09.N08  = 1.1
N09.N09  = 0
N09.N10  = 1.5
N10.H01  = 0.9
N10.H02  = 1.1
N10.N01  = 1.5
N10.N02  = 1.3
N10.N03  = 1
N10.N04  = 1.5
